TIME,CH2
-3.587,-0.01
-3.586,0.01
-3.585,0.01
-3.584,0.01
-3.583,0.03
-3.582,0.01
-3.581,0.01
-3.580,0.01
-3.579,0.01
-3.578,0.01
-3.577,0.01
-3.576,0.01
-3.575,0.01
-3.574,-0.01
-3.573,-0.01
-3.572,0.01
-3.571,0.01
-3.570,0.01
-3.569,0.01
-3.568,0.01
-3.567,0.03
-3.566,0.03
-3.565,0.03
-3.564,0.05
-3.563,0.01
-3.562,-0.01
-3.561,0.01
-3.560,0.01
-3.559,0.03
-3.558,-0.01
-3.557,0.01
-3.556,0.01
-3.555,0.01
-3.554,-0.01
-3.553,0.01
-3.552,0.01
-3.551,0.01
-3.550,0.01
-3.549,0.01
-3.548,-0.01
-3.547,-0.01
-3.546,0.01
-3.545,0.03
-3.544,-0.01
-3.543,-0.01
-3.542,0.01
-3.541,-0.01
-3.540,0.01
-3.539,-0.01
-3.538,0.01
-3.537,0.01
-3.536,0.01
-3.535,-0.01
-3.534,0.03
-3.533,0.01
-3.532,0.01
-3.531,0.05
-3.530,0.01
-3.529,0.03
-3.528,-0.01
-3.527,0.01
-3.526,0.01
-3.525,0.01
-3.524,-0.01
-3.523,-0.01
-3.522,0.01
-3.521,0.01
-3.520,0.01
-3.519,0.01
-3.518,0.03
-3.517,0.03
-3.516,0.01
-3.515,0.01
-3.514,0.01
-3.513,0.01
-3.512,-0.01
-3.511,0.01
-3.510,0.01
-3.509,-0.01
-3.508,0.01
-3.507,0.01
-3.506,0.01
-3.505,0.01
-3.504,0.01
-3.503,0.01
-3.502,0.01
-3.501,0.01
-3.500,0.01
-3.499,0.03
-3.498,0.03
-3.497,0.03
-3.496,0.01
-3.495,-0.01
-3.494,-0.01
-3.493,-0.01
-3.492,0.01
-3.491,0.01
-3.490,0.01
-3.489,-0.01
-3.488,0.01
-3.487,0.01
-3.486,-0.01
-3.485,0.01
-3.484,0.05
-3.483,0.03
-3.482,0.01
-3.481,0.01
