TIME,CH2
-3.61,0
-3.61,0
-3.61,0
-3.6,0.02
-3.6,0
-3.6,-0.02
-3.6,0
-3.6,-0.02
-3.6,0
-3.6,0.02
-3.6,0
-3.6,0
-3.6,-0.02
-3.59,0
-3.59,-0.02
-3.59,-0.02
-3.59,0
-3.59,0.02
-3.59,0
-3.59,0.02
-3.59,-0.02
-3.59,0.02
-3.59,0
-3.58,-0.02
-3.58,0.02
-3.58,0.02
-3.58,0
-3.58,0
-3.58,0
-3.58,0
-3.58,0
-3.58,0
-3.58,0
-3.57,0.04
-3.57,0
-3.57,0
-3.57,0
-3.57,0
-3.57,0.04
-3.57,0.02
-3.57,0
-3.57,0
-3.57,0
-3.56,0
-3.56,0
-3.56,0
-3.56,0
-3.56,0.04
-3.56,0
-3.56,0
-3.56,0
-3.56,0.02
-3.56,0
-3.55,0
-3.55,0
-3.55,0.02
-3.55,0
-3.55,0
-3.55,0
-3.55,0
-3.55,0
-3.55,0.02
-3.55,0
-3.54,0
-3.54,0.02
-3.54,0
-3.54,0
-3.54,0.04
-3.54,0
-3.54,0
-3.54,0.02
-3.54,0.02
-3.54,0
-3.53,0
-3.53,0
-3.53,0
-3.53,0
-3.53,0
-3.53,0
-3.53,0
-3.53,0
-3.53,0
-3.53,0
-3.52,0
-3.52,0
-3.52,0
-3.52,0.02
-3.52,0
-3.52,0
-3.52,0
-3.52,0
-3.52,0
-3.52,-0.02
-3.51,0
-3.51,0.02
-3.51,0
-3.51,0
-3.51,0.02
-3.51,0.04
-3.51,0
-3.51,0
-3.51,-0.02
-3.51,0
-3.5,0
-3.5,0
-3.5,-0.02
-3.5,0
-3.5,0
-3.5,0.02
-3.5,0
-3.5,0
-3.5,0
-3.5,0.02
-3.49,0.02
-3.49,0
-3.49,0
-3.49,0.02
-3.49,0
-3.49,0
-3.49,0
-3.49,0
-3.49,0
-3.49,-0.02
-3.48,0
-3.48,0
-3.48,0
-3.48,-0.02
-3.48,0
-3.48,0
-3.48,0
-3.48,0
-3.48,0.02
-3.48,0
-3.47,0
-3.47,0.02
-3.47,0
-3.47,0.02
-3.47,0.02
-3.47,0.02
-3.47,0.02
-3.47,0
-3.47,0
-3.47,0.02
-3.46,0.02
-3.46,0
-3.46,0.04
-3.46,-0.02
-3.46,0.02
-3.46,0
-3.46,-0.02
-3.46,0
-3.46,0
-3.46,0
-3.45,0.02
-3.45,0
-3.45,0
-3.45,0
-3.45,0.02
-3.45,0
-3.45,0
-3.45,0
-3.45,0
-3.45,0
-3.44,-0.02
-3.44,0
-3.44,0.02
-3.44,0
-3.44,0
-3.44,0
-3.44,0
-3.44,0.04
-3.44,0
-3.44,-0.02
-3.43,0
-3.43,0.02
-3.43,0
-3.43,0
-3.43,0
-3.43,0
-3.43,0.02
-3.43,0
-3.43,0.02
-3.43,0
-3.42,0
-3.42,0
-3.42,0
-3.42,0
-3.42,0
-3.42,0.02
-3.42,0.04
-3.42,0
-3.42,-0.02
-3.42,0
-3.41,0.02
-3.41,0
-3.41,0
-3.41,0.02
-3.41,0
-3.41,-0.02
-3.41,0
-3.41,0
-3.41,0
-3.41,0
-3.4,0
-3.4,0
-3.4,0
-3.4,0
-3.4,0
-3.4,-0.02
-3.4,0
-3.4,0
-3.4,0
-3.4,0.04
-3.39,-0.02
-3.39,0
-3.39,0.02
-3.39,0
-3.39,0
-3.39,0
-3.39,0.04
-3.39,0
-3.39,0
-3.39,0
-3.38,0
-3.38,0
-3.38,0
-3.38,0
-3.38,0
-3.38,0
-3.38,0
-3.38,0
-3.38,0
-3.38,0
-3.37,0
-3.37,0
-3.37,0
-3.37,0
-3.37,-0.02
-3.37,0
-3.37,-0.02
-3.37,0
-3.37,0
-3.37,0
-3.36,0
-3.36,0
-3.36,-0.02
-3.36,0
-3.36,0.04
-3.36,0
-3.36,0
-3.36,0.02
-3.36,0
-3.36,-0.02
-3.35,0
-3.35,0.02
-3.35,0
-3.35,0
-3.35,0
-3.35,0.02
-3.35,0
-3.35,-0.02
-3.35,0
-3.35,-0.02
-3.34,0
-3.34,0.04
-3.34,0
-3.34,0
-3.34,0
-3.34,0.02
-3.34,0
-3.34,0
-3.34,0
-3.34,0
-3.33,0
-3.33,0
-3.33,0
-3.33,0
-3.33,0.02
-3.33,0
-3.33,0
-3.33,0.02
-3.33,0
-3.33,0.04
-3.32,0
-3.32,0
-3.32,0.02
-3.32,0
-3.32,0
-3.32,0
-3.32,0
-3.32,-0.02
-3.32,0
-3.32,-0.02
-3.31,0
-3.31,0
-3.31,0.02
-3.31,0
-3.31,0.02
-3.31,0.02
-3.31,0.04
-3.31,0
-3.31,0
-3.31,0
-3.3,0
-3.3,0
-3.3,-0.02
-3.3,0
-3.3,0.02
-3.3,0
-3.3,0
-3.3,-0.02
-3.3,0
-3.3,0
-3.29,0
-3.29,0
-3.29,0
-3.29,0
-3.29,0
-3.29,0
-3.29,0
-3.29,0
-3.29,0
-3.29,0.02
-3.28,0
-3.28,0
-3.28,0
-3.28,0.02
-3.28,0
-3.28,0
-3.28,0
-3.28,0
-3.28,0
-3.28,0.02
-3.27,0
-3.27,0
-3.27,0.02
-3.27,0.02
-3.27,-0.02
-3.27,0
-3.27,0
-3.27,0
-3.27,0.04
-3.27,0
-3.26,0
-3.26,0
-3.26,0
-3.26,0.04
-3.26,0.02
-3.26,0
-3.26,0
-3.26,0
-3.26,0
-3.26,0
-3.25,0
-3.25,0
-3.25,0
-3.25,0
-3.25,0
-3.25,0
-3.25,0
-3.25,0.02
-3.25,0
-3.25,0.02
-3.24,0
-3.24,0.02
-3.24,0
-3.24,0.02
-3.24,0.04
-3.24,0.02
-3.24,0
-3.24,0
-3.24,0
-3.24,0
-3.23,0
-3.23,0
-3.23,0
-3.23,0
-3.23,0.02
-3.23,0
-3.23,0.04
-3.23,0
-3.23,0
-3.23,0.02
-3.22,0.02
-3.22,0.02
-3.22,0.02
-3.22,0
-3.22,0
-3.22,0.02
-3.22,0.04
-3.22,0.02
-3.22,0.02
-3.22,0
-3.21,0.02
-3.21,0
-3.21,0.02
-3.21,0.04
-3.21,0
-3.21,0.02
-3.21,0
-3.21,0
-3.21,0
-3.21,-0.02
-3.2,0.02
